id,name,category,price,rating,stock,brand,description
59,Dell Electronics Product 59,Electronics,868.77,4.6,6,Dell,"High-quality electronics product from Dell, perfect for everyday use."
60,Under Armour Sports & Outdoors Product 60,Sports & Outdoors,1453.98,4.2,45,Under Armour,"High-quality sports & outdoors product from Under Armour, perfect for everyday use."
61,HP Electronics Product 61,Electronics,458.33,1.1,24,HP,"High-quality electronics product from HP, perfect for everyday use."
62,Horlicks Health & Wellness Product 62,Health & Wellness,417.23,1.2,63,Horlicks,"High-quality health & wellness product from Horlicks, perfect for everyday use."
63,Fisher-Price Toys & Games Product 63,Toys & Games,971.81,3.4,56,Fisher-Price,"High-quality toys & games product from Fisher-Price, perfect for everyday use."
64,Spalding Sports & Outdoors Product 64,Sports & Outdoors,1198.69,3.1,15,Spalding,"High-quality sports & outdoors product from Spalding, perfect for everyday use."
65,Wilson Sports & Outdoors Product 65,Sports & Outdoors,557.1,1.1,45,Wilson,"High-quality sports & outdoors product from Wilson, perfect for everyday use."
66,Samsung Electronics Product 66,Electronics,1000.35,4.2,76,Samsung,"High-quality electronics product from Samsung, perfect for everyday use."
67,Wilson Sports & Outdoors Product 67,Sports & Outdoors,202.41,1.4,77,Wilson,"High-quality sports & outdoors product from Wilson, perfect for everyday use."
68,Amul Groceries Product 68,Groceries,1144.61,2.8,23,Amul,"High-quality groceries product from Amul, perfect for everyday use."
69,Philips Home & Kitchen Product 69,Home & Kitchen,1086.13,4.3,12,Philips,"High-quality home & kitchen product from Philips, perfect for everyday use."
70,Puma Fashion Product 70,Fashion,113.35,4.4,13,Puma,"High-quality fashion product from Puma, perfect for everyday use."
71,Hachette Books Product 71,Books,519.81,3.6,41,Hachette,"High-quality books product from Hachette, perfect for everyday use."
72,Himalaya Health & Wellness Product 72,Health & Wellness,1358.64,3.4,10,Himalaya,"High-quality health & wellness product from Himalaya, perfect for everyday use."
73,Simon & Schuster Books Product 73,Books,1100.17,3.7,37,Simon & Schuster,"High-quality books product from Simon & Schuster, perfect for everyday use."
74,Reebok Sports & Outdoors Product 74,Sports & Outdoors,1424.52,3.9,97,Reebok,"High-quality sports & outdoors product from Reebok, perfect for everyday use."
75,Adidas Fashion Product 75,Fashion,1212.35,3.0,17,Adidas,"High-quality fashion product from Adidas, perfect for everyday use."
76,Hasbro Toys & Games Product 76,Toys & Games,803.49,3.9,99,Hasbro,"High-quality toys & games product from Hasbro, perfect for everyday use."
77,HarperCollins Books Product 77,Books,1276.76,2.6,4,HarperCollins,"High-quality books product from HarperCollins, perfect for everyday use."
78,Bajaj Home & Kitchen Product 78,Home & Kitchen,114.54,3.5,88,Bajaj,"High-quality home & kitchen product from Bajaj, perfect for everyday use."
79,Dell Electronics Product 79,Electronics,472.62,4.9,52,Dell,"High-quality electronics product from Dell, perfect for everyday use."
80,Nike Fashion Product 80,Fashion,403.72,4.1,1,Nike,"High-quality fashion product from Nike, perfect for everyday use."
81,Puma Fashion Product 81,Fashion,1274.49,3.5,7,Puma,"High-quality fashion product from Puma, perfect for everyday use."
82,Wilson Sports & Outdoors Product 82,Sports & Outdoors,1355.07,1.9,75,Wilson,"High-quality sports & outdoors product from Wilson, perfect for everyday use."
83,Levi's Fashion Product 83,Fashion,1230.28,3.2,52,Levi's,"High-quality fashion product from Levi's, perfect for everyday use."
84,Reebok Sports & Outdoors Product 84,Sports & Outdoors,614.65,3.3,75,Reebok,"High-quality sports & outdoors product from Reebok, perfect for everyday use."
85,Under Armour Sports & Outdoors Product 85,Sports & Outdoors,1149.03,3.4,63,Under Armour,"High-quality sports & outdoors product from Under Armour, perfect for everyday use."
86,Patanjali Health & Wellness Product 86,Health & Wellness,770.65,4.3,33,Patanjali,"High-quality health & wellness product from Patanjali, perfect for everyday use."
87,Patanjali Health & Wellness Product 87,Health & Wellness,627.16,4.5,48,Patanjali,"High-quality health & wellness product from Patanjali, perfect for everyday use."
88,Hasbro Toys & Games Product 88,Toys & Games,271.02,1.9,53,Hasbro,"High-quality toys & games product from Hasbro, perfect for everyday use."
89,Nike Fashion Product 89,Fashion,6.66,3.2,91,Nike,"High-quality fashion product from Nike, perfect for everyday use."
90,Under Armour Sports & Outdoors Product 90,Sports & Outdoors,1237.43,2.3,59,Under Armour,"High-quality sports & outdoors product from Under Armour, perfect for everyday use."
91,Garnier Beauty & Personal Care Product 91,Beauty & Personal Care,1294.78,2.2,86,Garnier,"High-quality beauty & personal care product from Garnier, perfect for everyday use."
92,Havells Home & Kitchen Product 92,Home & Kitchen,1368.94,3.4,64,Havells,"High-quality home & kitchen product from Havells, perfect for everyday use."
93,Usha Home & Kitchen Product 93,Home & Kitchen,513.31,1.2,20,Usha,"High-quality home & kitchen product from Usha, perfect for everyday use."
94,Horlicks Health & Wellness Product 94,Health & Wellness,1117.71,1.5,28,Horlicks,"High-quality health & wellness product from Horlicks, perfect for everyday use."
95,Ensure Health & Wellness Product 95,Health & Wellness,1356.95,2.2,14,Ensure,"High-quality health & wellness product from Ensure, perfect for everyday use."
96,Reebok Sports & Outdoors Product 96,Sports & Outdoors,962.48,1.1,97,Reebok,"High-quality sports & outdoors product from Reebok, perfect for everyday use."
97,Levi's Fashion Product 97,Fashion,57.55,3.4,86,Levi's,"High-quality fashion product from Levi's, perfect for everyday use."
98,Nike Fashion Product 98,Fashion,734.5,2.6,45,Nike,"High-quality fashion product from Nike, perfect for everyday use."
99,Prestige Home & Kitchen Product 99,Home & Kitchen,1318.58,2.2,18,Prestige,"High-quality home & kitchen product from Prestige, perfect for everyday use."
100,Funko Toys & Games Product 100,Toys & Games,835.8,2.0,1,Funko,"High-quality toys & games product from Funko, perfect for everyday use."
101,Ensure Health & Wellness Product 101,Health & Wellness,758.46,4.2,5,Ensure,"High-quality health & wellness product from Ensure, perfect for everyday use."
102,Goodyear Automotive Product 102,Automotive,1293.24,3.3,67,Goodyear,"High-quality automotive product from Goodyear, perfect for everyday use."
103,Horlicks Health & Wellness Product 103,Health & Wellness,1397.01,1.3,23,Horlicks,"High-quality health & wellness product from Horlicks, perfect for everyday use."
104,L'Oreal Beauty & Personal Care Product 104,Beauty & Personal Care,148.78,1.4,85,L'Oreal,"High-quality beauty & personal care product from L'Oreal, perfect for everyday use."
105,Bosch Automotive Product 105,Automotive,689.57,3.8,12,Bosch,"High-quality automotive product from Bosch, perfect for everyday use."
106,Sony Electronics Product 106,Electronics,442.32,2.1,98,Sony,"High-quality electronics product from Sony, perfect for everyday use."
107,Kellogg's Groceries Product 107,Groceries,809.63,3.1,67,Kellogg's,"High-quality groceries product from Kellogg's, perfect for everyday use."
108,Dabur Health & Wellness Product 108,Health & Wellness,576.86,5.0,1,Dabur,"High-quality health & wellness product from Dabur, perfect for everyday use."
109,Dabur Health & Wellness Product 109,Health & Wellness,315.26,3.5,37,Dabur,"High-quality health & wellness product from Dabur, perfect for everyday use."
110,Under Armour Sports & Outdoors Product 110,Sports & Outdoors,171.99,1.7,88,Under Armour,"High-quality sports & outdoors product from Under Armour, perfect for everyday use."
111,Apple Electronics Product 111,Electronics,662.12,3.7,48,Apple,"High-quality electronics product from Apple, perfect for everyday use."
112,Samsung Electronics Product 112,Electronics,799.04,4.3,15,Samsung,"High-quality electronics product from Samsung, perfect for everyday use."
113,Fisher-Price Toys & Games Product 113,Toys & Games,1083.49,4.5,7,Fisher-Price,"High-quality toys & games product from Fisher-Price, perfect for everyday use."
114,Prestige Home & Kitchen Product 114,Home & Kitchen,439.78,2.8,6,Prestige,"High-quality home & kitchen product from Prestige, perfect for everyday use."
115,Wilson Sports & Outdoors Product 115,Sports & Outdoors,929.26,1.4,7,Wilson,"High-quality sports & outdoors product from Wilson, perfect for everyday use."
116,Hasbro Toys & Games Product 116,Toys & Games,827.1,4.7,48,Hasbro,"High-quality toys & games product from Hasbro, perfect for everyday use."
117,Maybelline Beauty & Personal Care Product 117,Beauty & Personal Care,366.26,4.6,77,Maybelline,"High-quality beauty & personal care product from Maybelline, perfect for everyday use."
118,Bridgestone Automotive Product 118,Automotive,475.47,3.0,40,Bridgestone,"High-quality automotive product from Bridgestone, perfect for everyday use."
119,Zara Fashion Product 119,Fashion,813.74,1.3,86,Zara,"High-quality fashion product from Zara, perfect for everyday use."
120,Fisher-Price Toys & Games Product 120,Toys & Games,313.93,2.5,31,Fisher-Price,"High-quality toys & games product from Fisher-Price, perfect for everyday use."
121,Bosch Automotive Product 121,Automotive,348.44,3.3,86,Bosch,"High-quality automotive product from Bosch, perfect for everyday use."
122,Mattel Toys & Games Product 122,Toys & Games,806.23,2.3,23,Mattel,"High-quality toys & games product from Mattel, perfect for everyday use."
123,Macmillan Books Product 123,Books,744.33,3.6,82,Macmillan,"High-quality books product from Macmillan, perfect for everyday use."
124,Samsung Electronics Product 124,Electronics,1437.87,1.3,50,Samsung,"High-quality electronics product from Samsung, perfect for everyday use."
125,Britannia Groceries Product 125,Groceries,552.59,1.5,17,Britannia,"High-quality groceries product from Britannia, perfect for everyday use."
126,Adidas Fashion Product 126,Fashion,465.53,2.0,76,Adidas,"High-quality fashion product from Adidas, perfect for everyday use."
127,HarperCollins Books Product 127,Books,76.23,4.2,56,HarperCollins,"High-quality books product from HarperCollins, perfect for everyday use."
128,LG Electronics Product 128,Electronics,358.67,1.8,28,LG,"High-quality electronics product from LG, perfect for everyday use."
129,Reebok Sports & Outdoors Product 129,Sports & Outdoors,669.87,3.6,63,Reebok,"High-quality sports & outdoors product from Reebok, perfect for everyday use."
130,Bajaj Home & Kitchen Product 130,Home & Kitchen,130.6,3.0,6,Bajaj,"High-quality home & kitchen product from Bajaj, perfect for everyday use."
131,Puma Fashion Product 131,Fashion,1137.02,3.7,4,Puma,"High-quality fashion product from Puma, perfect for everyday use."
132,Bridgestone Automotive Product 132,Automotive,81.68,4.9,29,Bridgestone,"High-quality automotive product from Bridgestone, perfect for everyday use."
133,Hasbro Toys & Games Product 133,Toys & Games,1451.73,2.3,26,Hasbro,"High-quality toys & games product from Hasbro, perfect for everyday use."
134,Ensure Health & Wellness Product 134,Health & Wellness,1425.6,3.9,41,Ensure,"High-quality health & wellness product from Ensure, perfect for everyday use."
135,Nivea Beauty & Personal Care Product 135,Beauty & Personal Care,671.66,4.7,32,Nivea,"High-quality beauty & personal care product from Nivea, perfect for everyday use."
136,Macmillan Books Product 136,Books,671.71,3.0,4,Macmillan,"High-quality books product from Macmillan, perfect for everyday use."
137,Hachette Books Product 137,Books,1488.96,1.7,97,Hachette,"High-quality books product from Hachette, perfect for everyday use."
138,Hasbro Toys & Games Product 138,Toys & Games,509.51,3.9,88,Hasbro,"High-quality toys & games product from Hasbro, perfect for everyday use."
139,Bajaj Home & Kitchen Product 139,Home & Kitchen,578.22,3.8,37,Bajaj,"High-quality home & kitchen product from Bajaj, perfect for everyday use."
140,Maybelline Beauty & Personal Care Product 140,Beauty & Personal Care,1148.46,4.9,19,Maybelline,"High-quality beauty & personal care product from Maybelline, perfect for everyday use."
141,Fisher-Price Toys & Games Product 141,Toys & Games,1122.1,2.2,41,Fisher-Price,"High-quality toys & games product from Fisher-Price, perfect for everyday use."
142,Bajaj Home & Kitchen Product 142,Home & Kitchen,1079.22,1.1,98,Bajaj,"High-quality home & kitchen product from Bajaj, perfect for everyday use."
143,Patanjali Health & Wellness Product 143,Health & Wellness,1219.73,1.1,33,Patanjali,"High-quality health & wellness product from Patanjali, perfect for everyday use."
144,Britannia Groceries Product 144,Groceries,581.14,2.0,23,Britannia,"High-quality groceries product from Britannia, perfect for everyday use."
145,Apple Electronics Product 145,Electronics,909.68,4.3,99,Apple,"High-quality electronics product from Apple, perfect for everyday use."
146,Bridgestone Automotive Product 146,Automotive,1043.49,2.4,58,Bridgestone,"High-quality automotive product from Bridgestone, perfect for everyday use."
147,Mattel Toys & Games Product 147,Toys & Games,609.33,1.7,65,Mattel,"High-quality toys & games product from Mattel, perfect for everyday use."
148,Usha Home & Kitchen Product 148,Home & Kitchen,1430.48,1.8,79,Usha,"High-quality home & kitchen product from Usha, perfect for everyday use."
149,Samsung Electronics Product 149,Electronics,1339.75,3.2,37,Samsung,"High-quality electronics product from Samsung, perfect for everyday use."
150,Amul Groceries Product 150,Groceries,675.0,3.9,6,Amul,"High-quality groceries product from Amul, perfect for everyday use."
151,Dell Electronics Product 151,Electronics,39.6,3.7,26,Dell,"High-quality electronics product from Dell, perfect for everyday use."
152,Patanjali Health & Wellness Product 152,Health & Wellness,226.38,1.3,94,Patanjali,"High-quality health & wellness product from Patanjali, perfect for everyday use."
153,Britannia Groceries Product 153,Groceries,935.28,1.6,96,Britannia,"High-quality groceries product from Britannia, perfect for everyday use."
154,Samsung Electronics Product 154,Electronics,1330.15,3.4,25,Samsung,"High-quality electronics product from Samsung, perfect for everyday use."
155,Mattel Toys & Games Product 155,Toys & Games,322.1,4.0,67,Mattel,"High-quality toys & games product from Mattel, perfect for everyday use."
156,Levi's Fashion Product 156,Fashion,1090.17,2.7,5,Levi's,"High-quality fashion product from Levi's, perfect for everyday use."
157,Apple Electronics Product 157,Electronics,1290.52,1.3,81,Apple,"High-quality electronics product from Apple, perfect for everyday use."
158,Reebok Sports & Outdoors Product 158,Sports & Outdoors,1289.86,4.0,89,Reebok,"High-quality sports & outdoors product from Reebok, perfect for everyday use."
159,Horlicks Health & Wellness Product 159,Health & Wellness,1278.51,3.2,98,Horlicks,"High-quality health & wellness product from Horlicks, perfect for everyday use."
160,Bosch Automotive Product 160,Automotive,826.75,2.8,86,Bosch,"High-quality automotive product from Bosch, perfect for everyday use."
161,Reebok Sports & Outdoors Product 161,Sports & Outdoors,168.22,3.2,17,Reebok,"High-quality sports & outdoors product from Reebok, perfect for everyday use."
162,Simon & Schuster Books Product 162,Books,945.55,3.3,46,Simon & Schuster,"High-quality books product from Simon & Schuster, perfect for everyday use."
163,Bosch Automotive Product 163,Automotive,244.87,1.8,70,Bosch,"High-quality automotive product from Bosch, perfect for everyday use."
164,Patanjali Health & Wellness Product 164,Health & Wellness,682.92,4.7,62,Patanjali,"High-quality health & wellness product from Patanjali, perfect for everyday use."
165,Samsung Electronics Product 165,Electronics,417.79,3.8,82,Samsung,"High-quality electronics product from Samsung, perfect for everyday use."
166,Sony Electronics Product 166,Electronics,89.12,1.6,61,Sony,"High-quality electronics product from Sony, perfect for everyday use."
167,Horlicks Health & Wellness Product 167,Health & Wellness,1356.82,1.8,21,Horlicks,"High-quality health & wellness product from Horlicks, perfect for everyday use."
168,Bajaj Home & Kitchen Product 168,Home & Kitchen,982.27,1.1,95,Bajaj,"High-quality home & kitchen product from Bajaj, perfect for everyday use."
169,Spalding Sports & Outdoors Product 169,Sports & Outdoors,391.6,3.2,10,Spalding,"High-quality sports & outdoors product from Spalding, perfect for everyday use."
170,Britannia Groceries Product 170,Groceries,1255.88,4.5,97,Britannia,"High-quality groceries product from Britannia, perfect for everyday use."
171,Reebok Sports & Outdoors Product 171,Sports & Outdoors,753.16,2.7,11,Reebok,"High-quality sports & outdoors product from Reebok, perfect for everyday use."
172,Fisher-Price Toys & Games Product 172,Toys & Games,1179.39,2.4,95,Fisher-Price,"High-quality toys & games product from Fisher-Price, perfect for everyday use."
173,Castrol Automotive Product 173,Automotive,291.11,3.2,28,Castrol,"High-quality automotive product from Castrol, perfect for everyday use."
174,Macmillan Books Product 174,Books,1188.22,1.8,92,Macmillan,"High-quality books product from Macmillan, perfect for everyday use."
175,Usha Home & Kitchen Product 175,Home & Kitchen,351.69,1.3,27,Usha,"High-quality home & kitchen product from Usha, perfect for everyday use."
176,Under Armour Sports & Outdoors Product 176,Sports & Outdoors,79.36,2.0,39,Under Armour,"High-quality sports & outdoors product from Under Armour, perfect for everyday use."
177,Kellogg's Groceries Product 177,Groceries,1173.28,2.8,24,Kellogg's,"High-quality groceries product from Kellogg's, perfect for everyday use."
178,Britannia Groceries Product 178,Groceries,1174.0,3.9,54,Britannia,"High-quality groceries product from Britannia, perfect for everyday use."
179,Garnier Beauty & Personal Care Product 179,Beauty & Personal Care,1462.95,1.7,56,Garnier,"High-quality beauty & personal care product from Garnier, perfect for everyday use."
180,Ensure Health & Wellness Product 180,Health & Wellness,238.61,2.2,32,Ensure,"High-quality health & wellness product from Ensure, perfect for everyday use."
181,Dabur Health & Wellness Product 181,Health & Wellness,319.1,3.8,13,Dabur,"High-quality health & wellness product from Dabur, perfect for everyday use."
182,Samsung Electronics Product 182,Electronics,410.65,1.2,81,Samsung,"High-quality electronics product from Samsung, perfect for everyday use."
183,Britannia Groceries Product 183,Groceries,447.05,3.2,11,Britannia,"High-quality groceries product from Britannia, perfect for everyday use."
184,L'Oreal Beauty & Personal Care Product 184,Beauty & Personal Care,619.21,1.6,88,L'Oreal,"High-quality beauty & personal care product from L'Oreal, perfect for everyday use."
185,Dabur Health & Wellness Product 185,Health & Wellness,212.12,1.8,49,Dabur,"High-quality health & wellness product from Dabur, perfect for everyday use."
186,Castrol Automotive Product 186,Automotive,1438.8,1.2,65,Castrol,"High-quality automotive product from Castrol, perfect for everyday use."
187,Mobil Automotive Product 187,Automotive,175.36,2.5,99,Mobil,"High-quality automotive product from Mobil, perfect for everyday use."
188,Goodyear Automotive Product 188,Automotive,612.9,3.0,24,Goodyear,"High-quality automotive product from Goodyear, perfect for everyday use."
189,Parle Groceries Product 189,Groceries,318.53,4.0,23,Parle,"High-quality groceries product from Parle, perfect for everyday use."
190,Horlicks Health & Wellness Product 190,Health & Wellness,493.6,4.0,28,Horlicks,"High-quality health & wellness product from Horlicks, perfect for everyday use."
191,Fisher-Price Toys & Games Product 191,Toys & Games,438.87,4.1,66,Fisher-Price,"High-quality toys & games product from Fisher-Price, perfect for everyday use."
192,Puma Fashion Product 192,Fashion,639.71,1.2,17,Puma,"High-quality fashion product from Puma, perfect for everyday use."
193,Philips Home & Kitchen Product 193,Home & Kitchen,1219.71,3.8,70,Philips,"High-quality home & kitchen product from Philips, perfect for everyday use."
194,Nestle Groceries Product 194,Groceries,968.54,1.7,78,Nestle,"High-quality groceries product from Nestle, perfect for everyday use."
195,Bajaj Home & Kitchen Product 195,Home & Kitchen,970.58,3.6,65,Bajaj,"High-quality home & kitchen product from Bajaj, perfect for everyday use."
196,Nike Fashion Product 196,Fashion,670.7,4.3,99,Nike,"High-quality fashion product from Nike, perfect for everyday use."
197,Garnier Beauty & Personal Care Product 197,Beauty & Personal Care,498.08,4.2,20,Garnier,"High-quality beauty & personal care product from Garnier, perfect for everyday use."
198,Parle Groceries Product 198,Groceries,1443.76,1.8,70,Parle,"High-quality groceries product from Parle, perfect for everyday use."
199,Hasbro Toys & Games Product 199,Toys & Games,1267.33,3.7,60,Hasbro,"High-quality toys & games product from Hasbro, perfect for everyday use."
200,LG Electronics Product 200,Electronics,373.17,3.3,6,LG,"High-quality electronics product from LG, perfect for everyday use."
201,Mattel Toys & Games Product 201,Toys & Games,435.5,4.3,27,Mattel,"High-quality toys & games product from Mattel, perfect for everyday use."
202,Ensure Health & Wellness Product 202,Health & Wellness,1353.51,2.4,31,Ensure,"High-quality health & wellness product from Ensure, perfect for everyday use."
203,Garnier Beauty & Personal Care Product 203,Beauty & Personal Care,1350.97,4.9,1,Garnier,"High-quality beauty & personal care product from Garnier, perfect for everyday use."
204,Dell Electronics Product 204,Electronics,177.62,1.0,81,Dell,"High-quality electronics product from Dell, perfect for everyday use."
205,Prestige Home & Kitchen Product 205,Home & Kitchen,1394.53,3.1,24,Prestige,"High-quality home & kitchen product from Prestige, perfect for everyday use."
206,Levi's Fashion Product 206,Fashion,1480.6,3.8,49,Levi's,"High-quality fashion product from Levi's, perfect for everyday use."
207,Havells Home & Kitchen Product 207,Home & Kitchen,974.61,1.7,86,Havells,"High-quality home & kitchen product from Havells, perfect for everyday use."
208,Wilson Sports & Outdoors Product 208,Sports & Outdoors,411.68,2.1,98,Wilson,"High-quality sports & outdoors product from Wilson, perfect for everyday use."
209,Hachette Books Product 209,Books,485.01,3.9,68,Hachette,"High-quality books product from Hachette, perfect for everyday use."
210,Levi's Fashion Product 210,Fashion,319.87,1.9,39,Levi's,"High-quality fashion product from Levi's, perfect for everyday use."
211,Mobil Automotive Product 211,Automotive,707.28,3.2,99,Mobil,"High-quality automotive product from Mobil, perfect for everyday use."
212,LEGO Toys & Games Product 212,Toys & Games,987.49,2.8,58,LEGO,"High-quality toys & games product from LEGO, perfect for everyday use."
